time,instruction,arg_1,arg_2
0.0,POSITION,{},""
0.61,POSITION,'{"8": {"position": 1789, "speed": 4000}, "9": {"position": 1250, "speed": 4000}, "10": {"position": 1260, "speed": 4000}, "11": {"position": 1719, "speed": 4000}}',""
1.1,POSITION,'{"0": {"position": 1696, "speed": 8000}}',""
1.11,POSITION,'{"0": {"position": 1645, "speed": 8000}}',""
1.12,POSITION,'{"0": {"position": 1619, "speed": 8000}}',""
1.13,POSITION,'{"0": {"position": 1568, "speed": 8000}}',""
1.15,POSITION,'{"0": {"position": 1530, "speed": 8000}}',""
1.16,POSITION,'{"0": {"position": 1516, "speed": 8000}}',""
1.17,POSITION,'{"0": {"position": 1494, "speed": 8000}}',""
1.19,POSITION,'{"0": {"position": 1487, "speed": 8000}}',""
1.2,POSITION,'{"0": {"position": 1475, "speed": 8000}}',""
1.21,POSITION,'{"0": {"position": 1469, "speed": 8000}}',""
1.22,POSITION,'{"0": {"position": 1446, "speed": 8000}}',""
1.24,POSITION,'{"0": {"position": 1409, "speed": 8000}}',""
1.25,POSITION,'{"0": {"position": 1254, "speed": 8000}}',""
1.26,POSITION,'{"0": {"position": 1230, "speed": 8000}}',""
1.28,POSITION,'{"0": {"position": 1187, "speed": 8000}}',""
1.29,POSITION,'{"0": {"position": 1045, "speed": 8000}}',""
1.3,POSITION,'{"0": {"position": 1037, "speed": 8000}}',""
1.31,POSITION,'{"0": {"position": 1009, "speed": 8000}}',""
1.32,POSITION,'{"0": {"position": 987, "speed": 8000}}',""
1.34,POSITION,'{"0": {"position": 943, "speed": 8000}}',""
1.35,POSITION,'{"0": {"position": 924, "speed": 8000}}',""
1.36,POSITION,'{"0": {"position": 897, "speed": 8000}}',""
1.37,POSITION,'{"0": {"position": 889, "speed": 8000}}',""
1.38,POSITION,'{"0": {"position": 902, "speed": 8000}}',""
1.4,POSITION,'{"0": {"position": 916, "speed": 8000}}',""
1.41,POSITION,'{"0": {"position": 951, "speed": 8000}}',""
1.42,POSITION,'{"0": {"position": 973, "speed": 8000}}',""
1.43,POSITION,'{"0": {"position": 1025, "speed": 8000}}',""
1.45,POSITION,'{"0": {"position": 1051, "speed": 8000}}',""
1.46,POSITION,'{"0": {"position": 1222, "speed": 8000}}',""
1.47,POSITION,'{"0": {"position": 1418, "speed": 8000}}',""
1.49,POSITION,'{"0": {"position": 1430, "speed": 8000}}',""
1.5,POSITION,'{"0": {"position": 1472, "speed": 8000}}',""
1.51,POSITION,'{"0": {"position": 1513, "speed": 8000}}',""
1.52,POSITION,'{"0": {"position": 1531, "speed": 8000}}',""
